group,class,4,17,42,90,256,512
ave,n01534433,0,0.98,0.96,0.96,0.98,0.96
ave,n01608432,0,0.76,0.76,0.76,0.76,0.76
ave,n01806143,0,0.8367346938775511,0.8367346938775511,0.8367346938775511,0.8367346938775511,0.8367346938775511
ave,n01820546,0,0.96,0.96,0.96,0.96,0.96
ave,n01833805,0,0.9,0.88,0.9,0.9,0.9
ave,n01855672,0,0.723404255319149,0.7446808510638298,0.7446808510638298,0.723404255319149,0.7021276595744681
ave,n02012849,0,0.7142857142857143,0.7346938775510204,0.7346938775510204,0.7142857142857143,0.7346938775510204
kitchen,n03887697,0,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.5833333333333334,0.6041666666666666
kitchen,n03207941,0,0.5,0.44,0.46,0.44,0.44
kitchen,n02906734,0,0.6,0.62,0.6,0.6,0.6
kitchen,n04131690,0,0.5918367346938775,0.5918367346938775,0.5918367346938775,0.5918367346938775,0.5918367346938775
kitchen,n03775546,0,0.7872340425531915,0.7872340425531915,0.7872340425531915,0.7872340425531915,0.7659574468085106
kitchen,n04553703,0,0.8,0.76,0.78,0.78,0.76
kitchen,n03207743,0,0.92,0.92,0.92,0.92,0.9
