group,class,17,42,90,256,512
ave,n01534433,0.98,0.98,0.98,0.98,0.98
ave,n01608432,0.76,0.76,0.76,0.76,0.74
ave,n01806143,0.8367346938775511,0.8367346938775511,0.8367346938775511,0.8367346938775511,0.8367346938775511
ave,n01820546,0.96,0.96,0.96,0.96,0.96
ave,n01833805,0.9,0.88,0.9,0.9,0.92
ave,n01855672,0.723404255319149,0.7446808510638298,0.7446808510638298,0.7446808510638298,0.7021276595744681
ave,n02012849,0.7142857142857143,0.7346938775510204,0.7142857142857143,0.7346938775510204,0.7551020408163265
kitchen,n03887697,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.5625,0.5416666666666666
kitchen,n03207941,0.48,0.46,0.46,0.48,0.48
kitchen,n02906734,0.6,0.62,0.6,0.58,0.58
kitchen,n04131690,0.5918367346938775,0.5918367346938775,0.5918367346938775,0.5918367346938775,0.5918367346938775
kitchen,n03775546,0.7872340425531915,0.7872340425531915,0.7872340425531915,0.7872340425531915,0.7872340425531915
kitchen,n04553703,0.78,0.78,0.8,0.82,0.78
kitchen,n03207743,0.92,0.92,0.92,0.92,0.88
